question,answer
Thầy cô và các bạn cho em hỏi. Hệ cao đẳng có thể xin giấy thực tập không?,Em liên hệ bộ phận Trợ lý sinh viên tlsv@fit.hcmus.edu.vn để được hỗ trợ nhé.
Thầy cô cho em hỏi về việc xin giấy thực tập ạ?,Em liên hệ bộ phận Trợ lý sinh viên tlsv@fit.hcmus.edu.vn để được hỗ trợ nhé.
Xin giấy thực tập,Em liên hệ bộ phận Trợ lý sinh viên tlsv@fit.hcmus.edu.vn để được hỗ trợ nhé.
Thầy cô cho em hỏi làm giấy thực tập như thế nào ạ?,Em liên hệ bộ phận Trợ lý sinh viên tlsv@fit.hcmus.edu.vn để được hỗ trợ nhé.
Làm giấy thực tập như thế nào ạ?,Em liên hệ bộ phận Trợ lý sinh viên tlsv@fit.hcmus.edu.vn để được hỗ trợ nhé.
làm giấy xác nhận thực tập ở công ty như thế nào ạ?,Em liên hệ bộ phận Trợ lý sinh viên tlsv@fit.hcmus.edu.vn để được hỗ trợ nhé.
Cho em hỏi cách làm giấy xác nhận thực tập ở công ty sao ạ?,Em liên hệ bộ phận Trợ lý sinh viên tlsv@fit.hcmus.edu.vn để được hỗ trợ nhé.
Công ty làm giấy thực tập cho mình hay là mình tự làm ạ?,Em liên hệ bộ phận Trợ lý sinh viên tlsv@fit.hcmus.edu.vn để được hỗ trợ nhé.
Trường làm giấy thực tâp hay là công ty làm dùm mình ạ?,Em liên hệ bộ phận Trợ lý sinh viên tlsv@fit.hcmus.edu.vn để được hỗ trợ nhé.
Em có thể xin cấp giấy thực tập ở đâu ạ?,Em liên hệ bộ phận Trợ lý sinh viên tlsv@fit.hcmus.edu.vn để được hỗ trợ nhé.
Làm sao để liên hệ với phòng trợ lý sinh viên,Em liên hệ bộ phận Trợ lý sinh viên tlsv@fit.hcmus.edu.vn để được hỗ trợ nhé.
liên lạc với phòng trợ lý sinh viên ra sao,Em liên hệ bộ phận Trợ lý sinh viên tlsv@fit.hcmus.edu.vn để được hỗ trợ nhé.
email của phòng trợ lý sinh viên là gì,Em liên hệ bộ phận Trợ lý sinh viên tlsv@fit.hcmus.edu.vn để được hỗ trợ nhé.
cho em xin thông tin liên hệ của phòng trợ lý sinh viên,Em liên hệ bộ phận Trợ lý sinh viên tlsv@fit.hcmus.edu.vn để được hỗ trợ nhé.
cho em xin thông tin liên lạc của phòng trợ lý sinh viên,Em liên hệ bộ phận Trợ lý sinh viên tlsv@fit.hcmus.edu.vn để được hỗ trợ nhé.
thông tin liên lạc của phòng trợ lý sinh viên là gì,Em liên hệ bộ phận Trợ lý sinh viên tlsv@fit.hcmus.edu.vn để được hỗ trợ nhé.
thông tin liên hệ của phòng trợ lý sinh viên,Em liên hệ bộ phận Trợ lý sinh viên tlsv@fit.hcmus.edu.vn để được hỗ trợ nhé.
Về việc tham quan công ty GameLoft,Em xem thông báo trên web Khoa nhé.
Tham quan công ty gameloft là khi nào ạ?,Em xem thông báo trên web Khoa nhé.
Cho em hỏi lịch tham quan công ty xem ở đâu ạ?,Em xem thông báo trên web Khoa nhé.
Thời gian tham quan công ty môn kiến tập nghề nghiệp là khi nào ạ?,Em xem thông báo trên web Khoa nhé.
Coi lịch tham quan công ty kiến tập nghề nghiệp ,Em xem thông báo trên web Khoa nhé.
Em có thể xem lịch tham quan công ty ở đâu ạ,Em xem thông báo trên web Khoa nhé.
em có thể xem lịch tham quan cty môn kiến tập nghề nghiệp ở đâu ạ?,Em xem thông báo trên web Khoa nhé.
tham quan cty,Em xem thông báo trên web Khoa nhé.
lịch tham quan cty,Em xem thông báo trên web Khoa nhé.
Thầy cô cho em xin lịch tham quan cty VNG ,Em xem thông báo trên web Khoa nhé.
Hỏi về hồ sơ đăng ký thực tập hè.,"Chương trình thực tập hè các em coi thông báo trên web khoa để có thông tin về thực tập hè của các công ty. Về bảng điểm thì em xin ở phòng đào tạo rồi chụp lại hoặc scan để chuyển thành file mềm, và nhớ là có kèm theo CV có đầy đủ thông tin cá nhân. Còn về kết quả thực tập thì em xem thông báo trên Website Khoa nhé."
hỏi về chương trình thực tập hè của trường,"Chương trình thực tập hè các em coi thông báo trên web khoa để có thông tin về thực tập hè của các công ty. Về bảng điểm thì em xin ở phòng đào tạo rồi chụp lại hoặc scan để chuyển thành file mềm, và nhớ là có kèm theo CV có đầy đủ thông tin cá nhân. Còn về kết quả thực tập thì em xem thông báo trên Website Khoa nhé."
Cho em hỏi về chương trình thực tập hè của trường ạ,"Chương trình thực tập hè các em coi thông báo trên web khoa để có thông tin về thực tập hè của các công ty. Về bảng điểm thì em xin ở phòng đào tạo rồi chụp lại hoặc scan để chuyển thành file mềm, và nhớ là có kèm theo CV có đầy đủ thông tin cá nhân. Còn về kết quả thực tập thì em xem thông báo trên Website Khoa nhé."
Làm thế nào để xin thực tập hè ở các công ty ạ?,"Chương trình thực tập hè các em coi thông báo trên web khoa để có thông tin về thực tập hè của các công ty. Về bảng điểm thì em xin ở phòng đào tạo rồi chụp lại hoặc scan để chuyển thành file mềm, và nhớ là có kèm theo CV có đầy đủ thông tin cá nhân. Còn về kết quả thực tập thì em xem thông báo trên Website Khoa nhé."
in bảng điểm như thế nào để em nộp đơn thực tập hè ở công ty ạ?,"Chương trình thực tập hè các em coi thông báo trên web khoa để có thông tin về thực tập hè của các công ty. Về bảng điểm thì em xin ở phòng đào tạo rồi chụp lại hoặc scan để chuyển thành file mềm, và nhớ là có kèm theo CV có đầy đủ thông tin cá nhân. Còn về kết quả thực tập thì em xem thông báo trên Website Khoa nhé."
In bảng điểm để thực tập hè ,"Chương trình thực tập hè các em coi thông báo trên web khoa để có thông tin về thực tập hè của các công ty. Về bảng điểm thì em xin ở phòng đào tạo rồi chụp lại hoặc scan để chuyển thành file mềm, và nhớ là có kèm theo CV có đầy đủ thông tin cá nhân. Còn về kết quả thực tập thì em xem thông báo trên Website Khoa nhé."
bảng điểm để thực tập ở cty,"Chương trình thực tập hè các em coi thông báo trên web khoa để có thông tin về thực tập hè của các công ty. Về bảng điểm thì em xin ở phòng đào tạo rồi chụp lại hoặc scan để chuyển thành file mềm, và nhớ là có kèm theo CV có đầy đủ thông tin cá nhân. Còn về kết quả thực tập thì em xem thông báo trên Website Khoa nhé."
Để làm hồ sơ đăng ký thực tập hè thì làm như thế nào ạ?,"Chương trình thực tập hè các em coi thông báo trên web khoa để có thông tin về thực tập hè của các công ty. Về bảng điểm thì em xin ở phòng đào tạo rồi chụp lại hoặc scan để chuyển thành file mềm, và nhớ là có kèm theo CV có đầy đủ thông tin cá nhân. Còn về kết quả thực tập thì em xem thông báo trên Website Khoa nhé."
Thầy cô cho em hỏi về đăng ký thực tập hè ạ?,"Chương trình thực tập hè các em coi thông báo trên web khoa để có thông tin về thực tập hè của các công ty. Về bảng điểm thì em xin ở phòng đào tạo rồi chụp lại hoặc scan để chuyển thành file mềm, và nhớ là có kèm theo CV có đầy đủ thông tin cá nhân. Còn về kết quả thực tập thì em xem thông báo trên Website Khoa nhé."
Kết quả thực tập hè em có thể coi ở đâu ạ ? ,"Chương trình thực tập hè các em coi thông báo trên web khoa để có thông tin về thực tập hè của các công ty. Về bảng điểm thì em xin ở phòng đào tạo rồi chụp lại hoặc scan để chuyển thành file mềm, và nhớ là có kèm theo CV có đầy đủ thông tin cá nhân. Còn về kết quả thực tập thì em xem thông báo trên Website Khoa nhé."
Thưa thầy (cô)! cho em hỏi kỳ này có mở đợt đăng ký thực tập hè không ạ? nếu có thì khi nào mới được đăng ký ạ?,"Chương trình thực tập hè các em coi thông báo trên web khoa để có thông tin về thực tập hè của các công ty. Về bảng điểm thì em xin ở phòng đào tạo rồi chụp lại hoặc scan để chuyển thành file mềm, và nhớ là có kèm theo CV có đầy đủ thông tin cá nhân. Còn về kết quả thực tập thì em xem thông báo trên Website Khoa nhé."
VNG khi có đợt tuyển nhân sự ạ ? ,Các bạn ghé thăm trang web tuyển dụng của công ty để xem chi tiết hơn nhé. (https://career.vng.com.vn/danh-cho-sinh-vien)
VNG tuyển nhân sự như thế nào ạ?,Các bạn ghé thăm trang web tuyển dụng của công ty để xem chi tiết hơn nhé. (https://career.vng.com.vn/danh-cho-sinh-vien)
VNG đang tuyển các bộ phận nào ạ?,Các bạn ghé thăm trang web tuyển dụng của công ty để xem chi tiết hơn nhé. (https://career.vng.com.vn/danh-cho-sinh-vien)
Công ty VNG ở đâu ạ?,Các bạn ghé thăm trang web tuyển dụng của công ty để xem chi tiết hơn nhé. (https://career.vng.com.vn/danh-cho-sinh-vien)
Phúc lợi khi làm việc ở VNG là gì ạ?,Các bạn ghé thăm trang web tuyển dụng của công ty để xem chi tiết hơn nhé. (https://career.vng.com.vn/danh-cho-sinh-vien)
Chương trình fresher của VNG là khi nào và mấy lần trong năm ạ ?,Các bạn ghé thăm trang web tuyển dụng của công ty để xem chi tiết hơn nhé. (https://career.vng.com.vn/danh-cho-sinh-vien)
Tiêu chuẩn xin làm fresher ở VNG ạ?,Các bạn ghé thăm trang web tuyển dụng của công ty để xem chi tiết hơn nhé. (https://career.vng.com.vn/danh-cho-sinh-vien)
Để xin vào fresher của VNG thì tiêu chuẩn như thế nào ạ?,Các bạn ghé thăm trang web tuyển dụng của công ty để xem chi tiết hơn nhé. (https://career.vng.com.vn/danh-cho-sinh-vien)
VNg có điều kiện như thế nào để tuyển fresher ạ?,Các bạn ghé thăm trang web tuyển dụng của công ty để xem chi tiết hơn nhé. (https://career.vng.com.vn/danh-cho-sinh-vien)
Làm fresher ở VNG có phúc lợi gì đặc biệt không ạ?,Các bạn ghé thăm trang web tuyển dụng của công ty để xem chi tiết hơn nhé. (https://career.vng.com.vn/danh-cho-sinh-vien)
Thời khóa biểu của khoa,Em tham khảo ở link sau nhé. (https://client-college-handbook.herokuapp.com/lich-thi#tkb)
cho tôi hỏi lịch học các môn học,Em tham khảo ở link sau nhé. (https://client-college-handbook.herokuapp.com/lich-thi#tkb)
Phòng học của các môn học?,Em tham khảo ở link sau nhé. (https://client-college-handbook.herokuapp.com/lich-thi#tkb)
Thời khóa biểu học ở Linh trung ,Em tham khảo ở link sau nhé. (https://client-college-handbook.herokuapp.com/lich-thi#tkb)
Thời khóa biểu học ở cơ sở Nguyễn Văn Cừ,Em tham khảo ở link sau nhé. (https://client-college-handbook.herokuapp.com/lich-thi#tkb)
Cho em xin thời khóa biểu học kì một ạ? ,Em tham khảo ở link sau nhé. (https://client-college-handbook.herokuapp.com/lich-thi#tkb)
Cho em xin thời khóa biểu học kì 2 ạ?,Em tham khảo ở link sau nhé. (https://client-college-handbook.herokuapp.com/lich-thi#tkb)
Cho em xin thời khóa biểu hk 1 năm học 2019 với ạ?,Em tham khảo ở link sau nhé. (https://client-college-handbook.herokuapp.com/lich-thi#tkb)
Cho em xin tkb hk2 năm học 2018 với ạ ,Em tham khảo ở link sau nhé. (https://client-college-handbook.herokuapp.com/lich-thi#tkb)
em có thể coi tkb năm học ở đâu ạ?,Em tham khảo ở link sau nhé. (https://client-college-handbook.herokuapp.com/lich-thi#tkb)
Lịch thi giữa kì và cuối kì,Em tham khảo ở link sau nhé. (https://client-college-handbook.herokuapp.com/lich-thi#lt)
Lịch thi học kì 1 là gì?,Em tham khảo ở link sau nhé. (https://client-college-handbook.herokuapp.com/lich-thi#lt)
Xem thời khóa biểu học kì này ở đâu?,Em tham khảo ở link sau nhé. (https://client-college-handbook.herokuapp.com/lich-thi#lt)
Lịch thi Anh văn gần nhất là ngày nào?,Em tham khảo ở link sau nhé. (https://client-college-handbook.herokuapp.com/lich-thi#lt)
Lịch thi cuối kì của em như thế nào?,Em tham khảo ở link sau nhé. (https://client-college-handbook.herokuapp.com/lich-thi#lt)
Lịch thi lại không rõ ràng?,Em tham khảo ở link sau nhé. (https://client-college-handbook.herokuapp.com/lich-thi#lt)
Lịch thi cuối kì khi nào có chính thức?,Em tham khảo ở link sau nhé. (https://client-college-handbook.herokuapp.com/lich-thi#lt)
"Thầy/cô cho em hỏi về khoảng thời gian thi lần 2, học kỳ 2 hệ cao đẳng, em dự định đăng ký đi tình nguyện vào cuối tháng 8 nhưng trường chưa thông báo về lịch thi",Em tham khảo ở link sau nhé. (https://client-college-handbook.herokuapp.com/lich-thi#lt)
Cho em xin lịch thi giữa kì và cuối kì ạ,Em tham khảo ở link sau nhé. (https://client-college-handbook.herokuapp.com/lich-thi#lt)
Khi nào có lịch thi cuối kì ạ?,Em tham khảo ở link sau nhé. (https://client-college-handbook.herokuapp.com/lich-thi#lt)
Khi nào có lịch thi giữa kì ạ?,Em tham khảo ở link sau nhé. (https://client-college-handbook.herokuapp.com/lich-thi#lt)
Em có thể coi lịch thi giữa kì và cuối kì ở đâu ạ?,Em tham khảo ở link sau nhé. (https://client-college-handbook.herokuapp.com/lich-thi#lt)
Lịch thi cuối kì và giữa kì có thể xem chính xác ở đâu ạ?,Em tham khảo ở link sau nhé. (https://client-college-handbook.herokuapp.com/lich-thi#lt)
Em muốn học cải thiện một môn học nào đó thì thủ tục đăng ký học cải thiện như thế nào?,Em có thể tham khảo link sau. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
Cho em hỏi Hệ cao đẳng có học cải thiện được không?,Em có thể tham khảo link sau. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
"Làm sao để đăng kí thi cải thiện điểm nhập môn lập trình, đăng kí khi nào, và cần mang theo gì, khi nào thì thi lại ?",Em có thể tham khảo link sau. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
Cần lưu ý những gì khi học cải thiện ạ?,Em có thể tham khảo link sau. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
Học cải thiện thì có cần lưu ý những gì không ạ?,Em có thể tham khảo link sau. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
Làm sao để đăng ký học cải thiện,Em có thể tham khảo link sau. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
Cho em hỏi học phần cải thiệt là gì ạ? Và làm sao để có thể đăng ký học cải thiệt lại môn ?,Em có thể tham khảo link sau. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
Thời gian nộp đơn học cải thiện,Em có thể tham khảo link sau. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
Khi nào đóng học phí cho học phần học cải thiện ạ?,Em có thể tham khảo link sau. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
Điều kiện để học cai thiện là gì ạ? và những môn không học cải thiện được,Em có thể tham khảo link sau. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
Cho em hỏi những môn nào không thể đăng ký học cải thiện được ạ?,Em có thể tham khảo link sau. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
Điểm trước đây có được lưu lại sau khi đăng ký học phần cải thiện học phần đó không ạ?,Em có thể tham khảo link sau. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
Điểm học cải thiện có phải là điểm của học phần đó luôn không ạ?,Em có thể tham khảo link sau. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
Điểm học cải thiện thì có được xét học bổng khuyến khích học tập không ạ?,Em có thể tham khảo link sau. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
Khái niệm học phần cải thiện ,Em có thể tham khảo link sau. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
Cho em xin mẫu đơn để đăng ký học phần cải thiện ạ?,Em có thể tham khảo link sau. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
Học phần cải thiện thì mình được đăng ký bao nhiêu lần ạ?,Em có thể tham khảo link sau. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
Nơi nhận đơn học đăng ký học phần cải thiện là ở đâu ạ?,Em có thể tham khảo link sau. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
Vấn đề đình chỉ học tập và cảnh cáo học vụ,Em có thể ghé văn phòng khoa - I53 để xem có tên mình hay không nhé.
"danh sách, đình chỉ, cảnh cáo học vụ, dán, xem, sinh viên",Em có thể ghé văn phòng khoa - I53 để xem có tên mình hay không nhé.
Em có thể coi danh sách cảnh cáo học vụ ở đâu ạ?,Em có thể ghé văn phòng khoa - I53 để xem có tên mình hay không nhé.
em có thể coi danh sách đình chỉ học tập ở đâu ạ? ,Em có thể ghé văn phòng khoa - I53 để xem có tên mình hay không nhé.
làm sao để biết mình có tên trong danh sách cảnh cáo học vụ ạ?,Em có thể ghé văn phòng khoa - I53 để xem có tên mình hay không nhé.
làm sao để biết mình có tên trong danh sách đình chỉ học tập ạ?,Em có thể ghé văn phòng khoa - I53 để xem có tên mình hay không nhé.
Danh sách đình chỉ học tập được dán ở đâu ạ ?,Em có thể ghé văn phòng khoa - I53 để xem có tên mình hay không nhé.
Danh sách cảnh cáo học vụ được dán ở đâu ạ?,Em có thể ghé văn phòng khoa - I53 để xem có tên mình hay không nhé.
Danh sách sinh viên bị cảnh cáo học vụ,Em có thể ghé văn phòng khoa - I53 để xem có tên mình hay không nhé.
danh sách sinh viên bị đình chỉ học tập,Em có thể ghé văn phòng khoa - I53 để xem có tên mình hay không nhé.
Làm thế nào biết mình có trong danh sách cảnh cáo hay đình chỉ học vụ ạ?,Em có thể ghé văn phòng khoa - I53 để xem có tên mình hay không nhé.
Danh sách cảnh cáo hay đình chỉ học được dán ở đâu ạ?,Em có thể ghé văn phòng khoa - I53 để xem có tên mình hay không nhé.
"Mình có thắc mắc là nếu trong năm học điểm rèn luyện xếp loại kém, thì nó ảnh hưởng như thế nào?",Cô nghĩ em nên hỏi phòng Công tác sinh viên vì Phòng CTSV phụ trách phần này. Email congtacsinhvien@hcmus.edu.vn hoặc liên hệ trực tiếp.
Điểm rèn luyện kém thì có ảnh hưởng gì không ạ?,Cô nghĩ em nên hỏi phòng Công tác sinh viên vì Phòng CTSV phụ trách phần này. Email congtacsinhvien@hcmus.edu.vn hoặc liên hệ trực tiếp.
điểm rèn luyện ảnh hưởng gì đến kết quả học tập không?,Cô nghĩ em nên hỏi phòng Công tác sinh viên vì Phòng CTSV phụ trách phần này. Email congtacsinhvien@hcmus.edu.vn hoặc liên hệ trực tiếp.
drl kém thì có ảnh hưởng gì không ạ?,Cô nghĩ em nên hỏi phòng Công tác sinh viên vì Phòng CTSV phụ trách phần này. Email congtacsinhvien@hcmus.edu.vn hoặc liên hệ trực tiếp.
điểm rèn luyện kém thì có ảnh hưởng gì không ạ?,Cô nghĩ em nên hỏi phòng Công tác sinh viên vì Phòng CTSV phụ trách phần này. Email congtacsinhvien@hcmus.edu.vn hoặc liên hệ trực tiếp.
Kì này mình có điểm rèn luyện kém thì không biết có bị cảnh cáo hay gì không ạ?,Cô nghĩ em nên hỏi phòng Công tác sinh viên vì Phòng CTSV phụ trách phần này. Email congtacsinhvien@hcmus.edu.vn hoặc liên hệ trực tiếp.
điểm rèn luyện thấp có bị cảnh cáo không?,Cô nghĩ em nên hỏi phòng Công tác sinh viên vì Phòng CTSV phụ trách phần này. Email congtacsinhvien@hcmus.edu.vn hoặc liên hệ trực tiếp.
"Năm nay em không tham gia hoạt động và vi phạm một số nội dung, và bị drl kém thì không biết em có bị gì không ạ?",Cô nghĩ em nên hỏi phòng Công tác sinh viên vì Phòng CTSV phụ trách phần này. Email congtacsinhvien@hcmus.edu.vn hoặc liên hệ trực tiếp.
Vi phạm nội quy có bị trừ điểm rèn luyện không,Cô nghĩ em nên hỏi phòng Công tác sinh viên vì Phòng CTSV phụ trách phần này. Email congtacsinhvien@hcmus.edu.vn hoặc liên hệ trực tiếp.
Thắc mắc về điểm rèn luyện,Cô nghĩ em nên hỏi phòng Công tác sinh viên vì Phòng CTSV phụ trách phần này. Email congtacsinhvien@hcmus.edu.vn hoặc liên hệ trực tiếp.
thắc mắc drl,Cô nghĩ em nên hỏi phòng Công tác sinh viên vì Phòng CTSV phụ trách phần này. Email congtacsinhvien@hcmus.edu.vn hoặc liên hệ trực tiếp.
thắc mắc đrl,Cô nghĩ em nên hỏi phòng Công tác sinh viên vì Phòng CTSV phụ trách phần này. Email congtacsinhvien@hcmus.edu.vn hoặc liên hệ trực tiếp.
"Em có một vài thắc mắc về đrl, thì em nên hỏi phòng chức năng nào ạ?",Cô nghĩ em nên hỏi phòng Công tác sinh viên vì Phòng CTSV phụ trách phần này. Email congtacsinhvien@hcmus.edu.vn hoặc liên hệ trực tiếp.
"Em có một vài thắc mắc về điểm rèn luyện, thì em nên hỏi phòng chức năng nào ạ?",Cô nghĩ em nên hỏi phòng Công tác sinh viên vì Phòng CTSV phụ trách phần này. Email congtacsinhvien@hcmus.edu.vn hoặc liên hệ trực tiếp.
thắc mắc điểm rèn luyện nên hỏi phòng chức năng nào,Cô nghĩ em nên hỏi phòng Công tác sinh viên vì Phòng CTSV phụ trách phần này. Email congtacsinhvien@hcmus.edu.vn hoặc liên hệ trực tiếp.
drl thì có ảnh hưởng gì tới sinh viên không ạ?,Cô nghĩ em nên hỏi phòng Công tác sinh viên vì Phòng CTSV phụ trách phần này. Email congtacsinhvien@hcmus.edu.vn hoặc liên hệ trực tiếp.
điểm rèn luyện thì có ảnh hưởng gì tới sinh viên không ạ?,Cô nghĩ em nên hỏi phòng Công tác sinh viên vì Phòng CTSV phụ trách phần này. Email congtacsinhvien@hcmus.edu.vn hoặc liên hệ trực tiếp.
điểm rèn luyện thì có ảnh hưởng gì tới điểm học tập không ạ?,Cô nghĩ em nên hỏi phòng Công tác sinh viên vì Phòng CTSV phụ trách phần này. Email congtacsinhvien@hcmus.edu.vn hoặc liên hệ trực tiếp.
"Thắc mắc drl, drl có ảnh hưởng gì tới quá trình học tập của mình ạ?",Cô nghĩ em nên hỏi phòng Công tác sinh viên vì Phòng CTSV phụ trách phần này. Email congtacsinhvien@hcmus.edu.vn hoặc liên hệ trực tiếp.
"Nếu drl thấp, hoặc dưới trung bình thì sinh viên phải chịu hình phạt như thế nào ạ?",Cô nghĩ em nên hỏi phòng Công tác sinh viên vì Phòng CTSV phụ trách phần này. Email congtacsinhvien@hcmus.edu.vn hoặc liên hệ trực tiếp.
"Nếu điểm rèn luyện thấp, hoặc dưới trung bình thì sinh viên phải chịu hình phạt như thế nào ạ?",Cô nghĩ em nên hỏi phòng Công tác sinh viên vì Phòng CTSV phụ trách phần này. Email congtacsinhvien@hcmus.edu.vn hoặc liên hệ trực tiếp.
"Nếu drl xếp loại thấp, thì em có bị kỷ luật hay gì không ạ?",Cô nghĩ em nên hỏi phòng Công tác sinh viên vì Phòng CTSV phụ trách phần này. Email congtacsinhvien@hcmus.edu.vn hoặc liên hệ trực tiếp.
Em có bị cảnh cáo  hay bị đình chỉ học tập khi liên tiếp bị drl xếp loại thấp ạ?,Cô nghĩ em nên hỏi phòng Công tác sinh viên vì Phòng CTSV phụ trách phần này. Email congtacsinhvien@hcmus.edu.vn hoặc liên hệ trực tiếp.
"Trong 1 năm học liên tiếp điểm rèn luyện bị xếp loại kém, thấp thì em có bị nhà trường kỷ luật không ạ?",Cô nghĩ em nên hỏi phòng Công tác sinh viên vì Phòng CTSV phụ trách phần này. Email congtacsinhvien@hcmus.edu.vn hoặc liên hệ trực tiếp.
chính quy có thể Đăng kí học lại ở lớp Tài Năng không?,"Không được nhé em (và chương trình của cử nhân tài năng sẽ nặng hơn so với chính quy). Chi tiết hơn, em liên hệ PĐT."
có thể đăng ký học lại ở lớp tài năng không?,"Không được nhé em (và chương trình của cử nhân tài năng sẽ nặng hơn so với chính quy). Chi tiết hơn, em liên hệ PĐT."
em có thể đăng ký học lại ở lớp tài năng không?,"Không được nhé em (và chương trình của cử nhân tài năng sẽ nặng hơn so với chính quy). Chi tiết hơn, em liên hệ PĐT."
Học kỳ hè có được áp dụng cho sinh viên khóa cao đẳng không?,"Học kỳ hè có áp dụng cho sinh viên cao đẳng. Trong học kỳ hè, em có thể đăng ký những môn rớt và đăng ký thêm môn mới."
"Em là sinh viên cao đẳng, thì hè này em có thể học môn nào không ạ? ","Học kỳ hè có áp dụng cho sinh viên cao đẳng. Trong học kỳ hè, em có thể đăng ký những môn rớt và đăng ký thêm môn mới."
Cao đẳng có học kỳ hè không ạ?,"Học kỳ hè có áp dụng cho sinh viên cao đẳng. Trong học kỳ hè, em có thể đăng ký những môn rớt và đăng ký thêm môn mới."
Cđ có học kỳ hè không ạ?,"Học kỳ hè có áp dụng cho sinh viên cao đẳng. Trong học kỳ hè, em có thể đăng ký những môn rớt và đăng ký thêm môn mới."
cd có học kỳ hè không ạ?,"Học kỳ hè có áp dụng cho sinh viên cao đẳng. Trong học kỳ hè, em có thể đăng ký những môn rớt và đăng ký thêm môn mới."
Học kỳ hè có được áp dụng với sinh viên cao đẳng không ạ?,"Học kỳ hè có áp dụng cho sinh viên cao đẳng. Trong học kỳ hè, em có thể đăng ký những môn rớt và đăng ký thêm môn mới."
học kỳ hè có được áp dụng với sv cao đẳng không ạ?,"Học kỳ hè có áp dụng cho sinh viên cao đẳng. Trong học kỳ hè, em có thể đăng ký những môn rớt và đăng ký thêm môn mới."
Sinh viên cao đẳng có chương trình học kỳ hè không ạ,"Học kỳ hè có áp dụng cho sinh viên cao đẳng. Trong học kỳ hè, em có thể đăng ký những môn rớt và đăng ký thêm môn mới."
sv cao đẳng có chương trình học kỳ hè không ạ?,"Học kỳ hè có áp dụng cho sinh viên cao đẳng. Trong học kỳ hè, em có thể đăng ký những môn rớt và đăng ký thêm môn mới."
Học kỳ hè có áp dụng đối với sv cao đẳng không ạ?,"Học kỳ hè có áp dụng cho sinh viên cao đẳng. Trong học kỳ hè, em có thể đăng ký những môn rớt và đăng ký thêm môn mới."
"Thầy/cô cho em hỏi, có phải tổng tín chỉ tích lũy được trong học kì < 8 thì bị đuổi học có phải không???",Buộc thôi học khi Không hoàn thành nghĩa vụ học phí đúng thời gian quy định của trường; tự ý bỏ học hoặc bỏ thi từ một học kỳ chính trở lên; đã hết thời gian tối đa hoàn thành khóa học; bị cảnh cáo học vụ ba lần liên tiếp; bị kỷ luật ở mức bị buộc thôi học theo quy định hiện hành.
Điểm trung bình dưới bao nhiêu là bị đình chỉ học ạ?,Buộc thôi học khi Không hoàn thành nghĩa vụ học phí đúng thời gian quy định của trường; tự ý bỏ học hoặc bỏ thi từ một học kỳ chính trở lên; đã hết thời gian tối đa hoàn thành khóa học; bị cảnh cáo học vụ ba lần liên tiếp; bị kỷ luật ở mức bị buộc thôi học theo quy định hiện hành.
Khi nào thì sinh viên bị buộc thôi học ạ?,Buộc thôi học khi Không hoàn thành nghĩa vụ học phí đúng thời gian quy định của trường; tự ý bỏ học hoặc bỏ thi từ một học kỳ chính trở lên; đã hết thời gian tối đa hoàn thành khóa học; bị cảnh cáo học vụ ba lần liên tiếp; bị kỷ luật ở mức bị buộc thôi học theo quy định hiện hành.
